Date,Open,High,Low,Close,Adj Close,Volume
1986-03-01,0.088542,0.103299,0.088542,0.095486,0.060788,1857052800
1986-04-01,0.095486,0.121962,0.092882,0.111979,0.071287,547142400
1986-05-01,0.111979,0.123264,0.107639,0.121528,0.077366,333446400
1986-06-01,0.121528,0.121528,0.102431,0.106771,0.067972,293788800
1986-07-01,0.106771,0.109375,0.090278,0.098958,0.062998,460800000
1986-08-01,0.098958,0.106771,0.094618,0.098958,0.062998,266256000
1986-09-01,0.098958,0.109375,0.091146,0.098090,0.062446,285120000
1986-10-01,0.098090,0.139757,0.095486,0.134549,0.085655,1565712000
1986-11-01,0.135417,0.177951,0.135417,0.172743,0.109971,1053964800
1986-12-01,0.172743,0.173611,0.157118,0.167535,0.106655,721526400
1987-01-01,0.167535,0.269097,0.164931,0.253906,0.161640,1961596800
1987-02-01,0.253906,0.276042,0.230903,0.266493,0.169653,1834272000
1987-03-01,0.266493,0.343750,0.255208,0.335938,0.213862,1783324800
1987-04-01,0.335938,0.378472,0.314236,0.361111,0.229888,2118585600
1987-05-01,0.361111,0.445313,0.356771,0.400174,0.254756,2192054400
1987-06-01,0.400174,0.400174,0.334201,0.354167,0.225467,1729353600
1987-07-01,0.353299,0.367188,0.307292,0.326389,0.207784,1813536000
1987-08-01,0.326389,0.421007,0.316840,0.412326,0.262493,2034921600
1987-09-01,0.409722,0.462674,0.368056,0.460069,0.292886,1554902400
1987-10-01,0.460069,0.550347,0.258681,0.345486,0.219941,3567219200
1987-11-01,0.342014,0.361111,0.281250,0.310764,0.197837,1550172800
1987-12-01,0.309028,0.388889,0.277778,0.376736,0.239835,1780182400
1988-01-01,0.380208,0.428819,0.364583,0.387153,0.246467,1966780800
1988-02-01,0.394097,0.421875,0.345486,0.412326,0.262493,1403884800
1988-03-01,0.414931,0.454861,0.376736,0.392361,0.249782,2113660800
1988-04-01,0.388889,0.407986,0.366319,0.378472,0.240940,1155084800
1988-05-01,0.378472,0.411458,0.371528,0.402778,0.256414,1032995200
1988-06-01,0.404514,0.468750,0.401042,0.465278,0.296202,1198579200
1988-07-01,0.465278,0.489583,0.394097,0.413194,0.263045,1401097600
1988-08-01,0.414931,0.416667,0.331597,0.347222,0.221046,1862576000
1988-09-01,0.343750,0.383681,0.333333,0.362847,0.230993,1216566400
1988-10-01,0.355903,0.375000,0.331597,0.340278,0.216625,1532086400
1988-11-01,0.340278,0.350694,0.314236,0.328125,0.208889,1558912000
1988-12-01,0.329861,0.376736,0.326389,0.369792,0.235414,1030441600
1989-01-01,0.371528,0.418403,0.348958,0.414063,0.263598,1375062400
1989-02-01,0.413194,0.449653,0.406250,0.413194,0.263045,1802134400
1989-03-01,0.416667,0.432292,0.317708,0.346354,0.220494,3058688000
1989-04-01,0.347222,0.392361,0.329861,0.388021,0.247019,1134803200
1989-05-01,0.384549,0.423611,0.354167,0.420139,0.267466,1258956800
1989-06-01,0.418403,0.421875,0.355903,0.368056,0.234309,1072560000
1989-07-01,0.368924,0.395833,0.357639,0.380208,0.242046,1221004800
1989-08-01,0.380208,0.420139,0.375000,0.407986,0.259730,1380710400
1989-09-01,0.409722,0.482639,0.401042,0.475694,0.302833,1284505600
1989-10-01,0.473958,0.597222,0.472222,0.567708,0.361411,2608976000
1989-11-01,0.567708,0.619792,0.527778,0.604167,0.384621,1835852800
1989-12-01,0.605035,0.612847,0.520833,0.604167,0.384621,1460649600
1990-01-01,0.605903,0.666667,0.583333,0.642361,0.408936,2380947200
1990-02-01,0.642361,0.697917,0.640625,0.685764,0.436567,1429331200
1990-03-01,0.684028,0.812500,0.684028,0.769097,0.489618,1717801600
1990-04-01,0.762153,0.875000,0.758681,0.805556,0.512827,1200806400
1990-05-01,0.815972,1.093750,0.788194,1.013889,0.645455,1634729600
1990-06-01,1.017361,1.079861,0.986111,1.055556,0.671981,1165913600
1990-07-01,1.055556,1.121528,0.913194,0.923611,0.587983,1548944000
1990-08-01,0.920139,0.934028,0.704861,0.854167,0.543774,1983792000
1990-09-01,0.847222,0.881944,0.756944,0.875000,0.557037,1270809600
1990-10-01,0.899306,0.951389,0.743056,0.885417,0.563668,2198080000
1990-11-01,0.875000,1.031250,0.871528,1.003472,0.638824,1253123200
1990-12-01,1.017361,1.065972,0.979167,1.045139,0.665349,959971200
1991-01-01,1.041667,1.381944,1.013889,1.362847,0.867607,2219728000
1991-02-01,1.375000,1.513889,1.350694,1.440972,0.917343,1781539200
1991-03-01,1.430556,1.569444,1.291667,1.473958,0.938341,1932505600
1991-04-01,1.472222,1.631944,1.333333,1.375000,0.875344,1985737600
1991-05-01,1.368056,1.562500,1.342014,1.524306,0.970393,1462662400
1991-06-01,1.520833,1.593750,1.354167,1.419271,0.903527,1295366400
1991-07-01,1.432292,1.541667,1.260417,1.531250,0.974814,1587264000
1991-08-01,1.536458,1.807292,1.494792,1.776042,1.130652,1281145600
1991-09-01,1.770833,1.875000,1.666667,1.854167,1.180388,834064000
1991-10-01,1.854167,1.984375,1.796875,1.955729,1.245044,1061907200
1991-11-01,1.947917,2.119792,1.890625,2.026042,1.289805,887222400
1991-12-01,2.005208,2.333333,2.000000,2.317708,1.475485,808755200
1992-01-01,2.307292,2.776042,2.281250,2.505208,1.594850,1468918400
1992-02-01,2.463542,2.687500,2.354167,2.572917,1.637954,1394012800
1992-03-01,2.578125,2.713542,2.432292,2.468750,1.571639,1204256000
1992-04-01,2.442708,2.692708,2.229167,2.296875,1.462222,2138947200
