Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,2.900800,3.068100,2.873300,2.986500,2.986500,0
2007-02-01,2.986000,3.030100,2.935600,2.952500,2.952500,0
2007-03-01,2.951000,2.994400,2.872500,2.893000,2.893000,0
2007-04-01,2.893000,2.912300,2.750400,2.771800,2.771800,0
2007-05-01,2.773100,2.858100,2.719900,2.830700,2.830700,0
2007-06-01,2.831300,2.896100,0.009280,2.784100,2.784100,0
2007-07-01,2.784800,2.807900,2.702200,2.774000,2.774000,0
2007-08-01,2.773900,2.880800,2.698900,2.799700,2.799700,0
2007-09-01,2.799700,2.820000,2.635100,2.639900,2.639900,0
2007-10-01,2.638700,2.679700,2.494500,2.503300,2.503300,0
2007-11-01,2.503100,2.702200,2.439500,2.454600,2.454600,0
2007-12-01,2.454600,2.527900,2.381300,2.461600,2.461600,0
2008-01-01,2.461600,2.552500,2.389900,2.421200,2.421200,0
2008-02-01,2.421100,2.501800,2.301700,2.310000,2.310000,0
2008-03-01,2.310600,2.335300,2.209400,2.228000,2.228000,0
2008-04-01,2.238700,2.252300,2.124600,2.206300,2.206300,0
2008-05-01,2.232500,2.242100,2.136600,2.136600,2.136600,0
2008-06-01,2.164900,2.217000,2.104800,2.125400,2.125400,0
2008-07-01,2.120800,2.124300,1.998000,2.060900,2.060900,0
2008-08-01,2.262800,2.282600,2.242900,2.262500,2.262500,0
2008-09-01,2.263300,2.475600,2.212500,2.405400,2.405400,0
2008-10-01,2.407000,3.153300,2.381800,2.811200,2.811200,0
2008-11-01,2.811200,3.119200,2.670200,2.995600,2.995600,0
2008-12-01,2.991500,3.088200,2.805900,2.962500,2.962500,0
2009-01-01,2.962500,3.491200,2.863600,3.455400,3.455400,0
2009-02-01,3.455400,3.910900,3.375900,3.660000,3.660000,0
2009-03-01,3.660000,3.829000,3.296300,3.500400,3.500400,0
2009-04-01,3.495000,3.548600,3.182200,3.332400,3.332400,0
2009-05-01,3.338500,3.361600,3.116900,3.183500,3.183500,0
2009-06-01,3.190400,3.298800,3.097300,3.171700,3.171700,0
2009-07-01,3.168200,3.211800,2.907400,2.907400,2.907400,0
2009-08-01,2.907400,2.964500,2.824500,2.854400,2.854400,0
2009-09-01,2.933700,2.937200,2.794800,2.868000,2.868000,0
2009-10-01,2.925000,2.939700,2.765100,2.890800,2.890800,0
2009-11-01,2.890800,2.945600,2.701300,2.764800,2.764800,0
2009-12-01,2.766800,2.948100,2.697200,2.854100,2.854100,0
2010-01-01,2.854100,2.933100,2.757100,2.904600,2.904600,0
2010-02-01,2.906800,3.031800,2.822400,2.892540,2.892540,0
2010-03-01,2.889900,2.941500,2.794600,2.852600,2.852600,0
2010-04-01,2.852400,3.007000,2.804710,2.951500,2.951500,0
2010-05-01,2.951500,3.424810,2.875300,3.312500,3.312500,0
2010-06-01,3.300800,3.521300,3.218400,3.390300,3.390300,0
2010-07-01,3.389200,3.407600,3.043200,3.074800,3.074800,0
2010-08-01,3.074800,3.195290,2.981600,3.150800,3.150800,0
2010-09-01,3.150100,3.155700,2.905300,2.916690,2.916690,0
2010-10-01,2.908900,2.909600,2.753300,2.872600,2.872600,0
2010-11-01,2.840800,3.137400,2.725500,3.116200,3.116200,0
2010-12-01,3.086700,3.101300,2.948000,2.975800,2.975800,0
2011-01-01,2.953960,3.035400,2.819450,2.900900,2.900900,0
2011-02-01,2.856940,2.935100,2.802720,2.892700,2.892700,0
2011-03-01,2.860100,2.959800,2.814500,2.840300,2.840300,0
2011-04-01,2.839100,2.868250,2.637400,2.652200,2.652200,0
2011-05-01,2.651060,2.831500,2.630400,2.775900,2.775900,0
2011-06-01,2.735800,2.842160,2.678870,2.752800,2.752800,0
2011-07-01,2.740800,2.931500,2.697890,2.792100,2.792100,0
2011-08-01,2.776700,2.987300,2.753100,2.875100,2.875100,0
2011-09-01,2.872600,3.360800,2.872400,3.258800,3.258800,0
2011-10-01,3.311200,3.355100,3.018500,3.060900,3.060900,0
2011-11-01,3.166000,3.432200,3.126530,3.395600,3.395600,0
2011-12-01,3.342200,3.527000,3.296900,3.404000,3.404000,0
2012-01-01,3.399800,3.546100,3.185500,3.234500,3.234500,0
2012-02-01,3.220000,3.265700,3.046300,3.059200,3.059200,0
2012-03-01,3.096600,3.196000,3.057100,3.111500,3.111500,0
2012-04-01,3.111500,3.233400,3.088200,3.144700,3.144700,0
2012-05-01,3.151400,3.570600,3.132700,3.547600,3.547600,0
2012-06-01,3.544700,3.596500,3.309600,3.331500,3.331500,0
2012-07-01,3.331500,3.498600,3.301400,3.355180,3.355180,0
2012-08-01,3.342300,3.394500,3.222900,3.354100,3.354100,0
2012-09-01,3.312600,3.370590,3.037700,3.191920,3.191920,0
2012-10-01,3.205360,3.220820,3.070800,3.184270,3.184270,0
2012-11-01,3.188200,3.308420,3.121400,3.149800,3.149800,0
